epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,11972.9,0.64116,0.90711,1.08315,0.90969,0.88832,0.92695,0.8433,0.46883,0.51388,0.9515,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,12115.3,0.64232,0.90616,1.08318,0.9184,0.87867,0.92833,0.84347,0.46936,0.51185,0.95196,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,12246.7,0.6376,0.90304,1.08201,0.91631,0.88038,0.92897,0.84365,0.46781,0.50964,0.95113,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,12384.6,0.63409,0.89884,1.08237,0.92002,0.8817,0.92767,0.8433,0.46718,0.50943,0.95031,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,12535.9,0.63376,0.88254,1.07664,0.92188,0.88251,0.92775,0.84379,0.46682,0.50871,0.95013,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,12674.8,0.63398,0.87928,1.07477,0.92363,0.88239,0.92871,0.84392,0.46601,0.50785,0.94978,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,12809.3,0.62658,0.87821,1.07293,0.91507,0.88998,0.929,0.84463,0.46544,0.50587,0.94916,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,12944.3,0.6327,0.87247,1.07501,0.91765,0.89232,0.93003,0.8453,0.46534,0.50472,0.94924,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,13084.7,0.61489,0.84285,1.06677,0.9135,0.89451,0.92994,0.84522,0.4645,0.50237,0.94845,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,13230,0.61932,0.8614,1.07311,0.91381,0.89552,0.92996,0.84518,0.46368,0.50146,0.94774,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,13369.9,0.62003,0.85165,1.0711,0.91772,0.89429,0.93058,0.8456,0.46293,0.50014,0.94741,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,13502.1,0.61662,0.84165,1.06816,0.91621,0.89574,0.93123,0.84605,0.46237,0.4991,0.94688,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,13636.2,0.61508,0.84087,1.06741,0.9164,0.89237,0.93037,0.84596,0.46188,0.49855,0.94652,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,13776.5,0.60868,0.82543,1.06392,0.91263,0.89054,0.92996,0.84633,0.46194,0.49787,0.94644,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,13907.9,0.60838,0.83221,1.06443,0.91336,0.88979,0.92984,0.84622,0.4619,0.49699,0.94622,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,14046.7,0.60037,0.81155,1.05935,0.91537,0.8907,0.92995,0.84634,0.46116,0.49619,0.9459,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
